pair	group_a	group_b	window	chrom	start	n_snps	n_windows	mean_window_fst	max_window_fst
K3_vs_K5	K3	K5	6:20700000	6	20700000	21	1	0.280905	0.280905
K3_vs_K5	K3	K5	7:21500000	7	21500000	21	1	0.255388	0.255388
K3_vs_K5	K3	K5	7:24150000	7	24150000	40	1	0.258298	0.258298
K3_vs_K5	K3	K5	7:24300000	7	24300000	37	1	0.25708	0.25708
K3_vs_K5	K3	K5	7:24750000	7	24750000	38	1	0.260255	0.260255
K3_vs_K5	K3	K5	8:10400000	8	10400000	47	1	0.254707	0.254707
K3_vs_K5	K3	K5	8:10600000	8	10600000	30	1	0.262634	0.262634
K3_vs_K5	K3	K5	8:10850000	8	10850000	42	1	0.266681	0.266681
K3_vs_K5	K3	K5	8:16800000	8	16800000	34	1	0.334298	0.334298
K3_vs_K5	K3	K5	8:17250000	8	17250000	46	1	0.281533	0.281533
K3_vs_K5	K3	K5	8:17700000	8	17700000	20	1	0.296924	0.296924
K3_vs_K5	K3	K5	11:2500000	11	2500000	32	1	0.279409	0.279409
K3_vs_K5	K3	K5	11:4300000	11	4300000	76	1	0.285123	0.285123
K3_vs_K5	K3	K5	11:8300000	11	8300000	25	1	0.274349	0.274349
K3_vs_K5	K3	K5	11:9950000	11	9950000	29	1	0.282303	0.282303
K3_vs_K5	K3	K5	11:18250000	11	18250000	66	1	0.257789	0.257789
K3_vs_K5	K3	K5	12:7450000	12	7450000	42	1	0.262782	0.262782
K3_vs_K5	K3	K5	13:24500000	13	24500000	35	1	0.267958	0.267958
K3_vs_K5	K3	K5	14:7450000	14	7450000	26	1	0.293784	0.293784
K3_vs_K5	K3	K5	14:27850000	14	27850000	44	1	0.265855	0.265855
K3_vs_K5	K3	K5	14:28000000	14	28000000	25	1	0.284018	0.284018
K3_vs_K5	K3	K5	14:28800000	14	28800000	22	1	0.258817	0.258817
K3_vs_K5	K3	K5	17:6500000	17	6500000	33	1	0.278645	0.278645
K3_vs_K5	K3	K5	17:6700000	17	6700000	20	1	0.272931	0.272931
K3_vs_K5	K3	K5	17:10650000	17	10650000	48	1	0.274753	0.274753
K3_vs_K5	K3	K5	17:13000000	17	13000000	53	1	0.294508	0.294508
K3_vs_K5	K3	K5	17:16300000	17	16300000	52	1	0.255684	0.255684
K3_vs_K5	K3	K5	18:5200000	18	5200000	36	1	0.302806	0.302806
K3_vs_K5	K3	K5	18:6450000	18	6450000	44	1	0.270149	0.270149
K3_vs_K5	K3	K5	18:6600000	18	6600000	41	1	0.285461	0.285461
K3_vs_K5	K3	K5	18:7850000	18	7850000	41	1	0.256215	0.256215
K3_vs_K5	K3	K5	18:10750000	18	10750000	44	1	0.262317	0.262317
K3_vs_K5	K3	K5	18:12200000	18	12200000	40	1	0.258399	0.258399
K3_vs_K5	K3	K5	18:12450000	18	12450000	26	1	0.310288	0.310288
K3_vs_K5	K3	K5	19:550000	19	550000	24	1	0.2698	0.2698
K3_vs_K5	K3	K5	19:1900000	19	1900000	28	1	0.2688	0.2688
K3_vs_K5	K3	K5	19:2500000	19	2500000	46	1	0.292292	0.292292
K3_vs_K6	K3	K6	1:2050000	1	2050000	50	1	0.183731	0.183731
K3_vs_K6	K3	K6	1:4100000	1	4100000	54	1	0.21744	0.21744
K3_vs_K6	K3	K6	1:5100000	1	5100000	37	1	0.219018	0.219018
K3_vs_K6	K3	K6	1:17750000	1	17750000	52	1	0.194498	0.194498
K3_vs_K6	K3	K6	1:20200000	1	20200000	70	1	0.215631	0.215631
K3_vs_K6	K3	K6	1:20800000	1	20800000	37	1	0.208403	0.208403
K3_vs_K6	K3	K6	2:1950000	2	1950000	41	1	0.213444	0.213444
K3_vs_K6	K3	K6	2:4600000	2	4600000	24	1	0.18928	0.18928
K3_vs_K6	K3	K6	2:5950000	2	5950000	48	1	0.185921	0.185921
K3_vs_K6	K3	K6	2:6850000	2	6850000	78	1	0.201508	0.201508
K3_vs_K6	K3	K6	2:18700000	2	18700000	23	1	0.196521	0.196521
K3_vs_K6	K3	K6	3:8400000	3	8400000	54	1	0.21758	0.21758
K3_vs_K6	K3	K6	3:9200000	3	9200000	95	1	0.193773	0.193773
K3_vs_K6	K3	K6	3:9600000	3	9600000	76	1	0.194716	0.194716
K3_vs_K6	K3	K6	4:150000	4	150000	32	1	0.286714	0.286714
K3_vs_K6	K3	K6	4:1000000	4	1000000	65	1	0.232455	0.232455
K3_vs_K6	K3	K6	4:1950000	4	1950000	28	1	0.188948	0.188948
K3_vs_K6	K3	K6	4:15700000	4	15700000	51	1	0.199099	0.199099
K3_vs_K6	K3	K6	4:16200000	4	16200000	78	1	0.189321	0.189321
K3_vs_K6	K3	K6	4:19150000	4	19150000	31	1	0.204657	0.204657
K3_vs_K6	K3	K6	5:8150000	5	8150000	44	1	0.192314	0.192314
K3_vs_K6	K3	K6	5:17350000	5	17350000	52	1	0.197171	0.197171
K3_vs_K6	K3	K6	5:25400000	5	25400000	110	1	0.223344	0.223344
K3_vs_K6	K3	K6	7:950000	7	950000	28	1	0.199345	0.199345
K3_vs_K6	K3	K6	7:6900000	7	6900000	57	1	0.21333	0.21333
K3_vs_K6	K3	K6	7:7800000	7	7800000	55	1	0.192764	0.192764
K3_vs_K6	K3	K6	7:9400000	7	9400000	75	1	0.190929	0.190929
K3_vs_K6	K3	K6	7:11300000	7	11300000	28	1	0.18864	0.18864
K3_vs_K6	K3	K6	7:14350000	7	14350000	25	1	0.197274	0.197274
K3_vs_K6	K3	K6	7:15050000	7	15050000	54	1	0.255543	0.255543
K3_vs_K6	K3	K6	7:15650000	7	15650000	85	1	0.250019	0.250019
K3_vs_K6	K3	K6	8:1450000	8	1450000	27	1	0.230973	0.230973
K3_vs_K6	K3	K6	9:6200000	9	6200000	63	1	0.185057	0.185057
K3_vs_K6	K3	K6	9:7300000	9	7300000	79	1	0.187716	0.187716
K3_vs_K6	K3	K6	9:18150000	9	18150000	103	1	0.193526	0.193526
K3_vs_K6	K3	K6	10:850000	10	850000	21	1	0.213189	0.213189
K3_vs_K6	K3	K6	10:1300000	10	1300000	51	1	0.184478	0.184478
K3_vs_K6	K3	K6	11:2850000	11	2850000	53	1	0.213736	0.213736
K3_vs_K6	K3	K6	11:10500000	11	10500000	35	1	0.212758	0.212758
K3_vs_K6	K3	K6	11:18250000	11	18250000	76	1	0.186097	0.186097
K3_vs_K6	K3	K6	13:400000	13	400000	23	1	0.191331	0.191331
K3_vs_K6	K3	K6	14:8800000	14	8800000	36	1	0.206297	0.206297
K3_vs_K6	K3	K6	14:10550000	14	10550000	70	1	0.199606	0.199606
K3_vs_K6	K3	K6	14:11550000	14	11550000	49	1	0.186262	0.186262
K3_vs_K6	K3	K6	14:12550000	14	12550000	38	1	0.255953	0.255953
K3_vs_K6	K3	K6	14:21100000	14	21100000	49	1	0.209017	0.209017
K3_vs_K6	K3	K6	14:23000000	14	23000000	69	1	0.190658	0.190658
K3_vs_K6	K3	K6	15:4350000	15	4350000	65	1	0.183712	0.183712
K3_vs_K6	K3	K6	15:13550000	15	13550000	59	1	0.196779	0.196779
K3_vs_K6	K3	K6	16:2350000	16	2350000	63	1	0.216444	0.216444
K3_vs_K6	K3	K6	16:5800000	16	5800000	30	1	0.202394	0.202394
K3_vs_K6	K3	K6	16:7900000	16	7900000	68	1	0.191111	0.191111
K3_vs_K6	K3	K6	17:13550000	17	13550000	31	1	0.220627	0.220627
K3_vs_K6	K3	K6	17:15700000	17	15700000	199	1	0.189075	0.189075
K3_vs_K6	K3	K6	17:17350000	17	17350000	40	1	0.21798	0.21798
K3_vs_K6	K3	K6	18:6450000	18	6450000	43	1	0.207263	0.207263
K3_vs_K6	K3	K6	18:7450000	18	7450000	67	1	0.183915	0.183915
K3_vs_K6	K3	K6	18:23550000	18	23550000	66	1	0.22913	0.22913
K3_vs_K6	K3	K6	19:2550000	19	2550000	36	1	0.189029	0.189029
K3_vs_K6	K3	K6	19:5750000	19	5750000	43	1	0.209153	0.209153
K3_vs_K6	K3	K6	19:22700000	19	22700000	73	1	0.189814	0.189814
K3_vs_K6	K3	K6	19:22900000	19	22900000	73	1	0.21345	0.21345
K3_vs_K6	K3	K6	19:23700000	19	23700000	52	1	0.192548	0.192548
K3_vs_K6	K3	K6	19:24100000	19	24100000	50	1	0.1869	0.1869
K3_vs_K7	K3	K7	1:9850000	1	9850000	42	1	0.315367	0.315367
K3_vs_K7	K3	K7	1:11550000	1	11550000	102	1	0.276871	0.276871
K3_vs_K7	K3	K7	1:12400000	1	12400000	73	1	0.350829	0.350829
K3_vs_K7	K3	K7	1:13450000	1	13450000	62	1	0.322316	0.322316
K3_vs_K7	K3	K7	2:1600000	2	1600000	49	1	0.304545	0.304545
K3_vs_K7	K3	K7	2:8250000	2	8250000	57	1	0.288023	0.288023
K3_vs_K7	K3	K7	3:8400000	3	8400000	50	1	0.280001	0.280001
K3_vs_K7	K3	K7	4:23850000	4	23850000	31	1	0.274919	0.274919
K3_vs_K7	K3	K7	5:1200000	5	1200000	22	1	0.288628	0.288628
K3_vs_K7	K3	K7	5:4300000	5	4300000	48	1	0.292935	0.292935
K3_vs_K7	K3	K7	5:23600000	5	23600000	20	1	0.329884	0.329884
K3_vs_K7	K3	K7	6:1400000	6	1400000	50	1	0.306231	0.306231
K3_vs_K7	K3	K7	6:6500000	6	6500000	29	1	0.408736	0.408736
K3_vs_K7	K3	K7	6:17650000	6	17650000	58	1	0.294694	0.294694
K3_vs_K7	K3	K7	6:18050000	6	18050000	30	1	0.278427	0.278427
K3_vs_K7	K3	K7	6:20450000	6	20450000	54	1	0.360444	0.360444
K3_vs_K7	K3	K7	6:20700000	6	20700000	21	1	0.299785	0.299785
K3_vs_K7	K3	K7	7:2300000	7	2300000	22	1	0.333441	0.333441
K3_vs_K7	K3	K7	7:7250000	7	7250000	68	1	0.27389	0.27389
K3_vs_K7	K3	K7	7:7800000	7	7800000	44	1	0.285038	0.285038
K3_vs_K7	K3	K7	7:21500000	7	21500000	20	1	0.275846	0.275846
K3_vs_K7	K3	K7	7:24750000	7	24750000	27	1	0.287224	0.287224
K3_vs_K7	K3	K7	8:10150000	8	10150000	39	1	0.300148	0.300148
K3_vs_K7	K3	K7	8:10450000	8	10450000	52	1	0.289013	0.289013
K3_vs_K7	K3	K7	8:10600000	8	10600000	32	1	0.286683	0.286683
K3_vs_K7	K3	K7	8:11450000	8	11450000	26	1	0.283848	0.283848
K3_vs_K7	K3	K7	8:13850000	8	13850000	20	1	0.316472	0.316472
K3_vs_K7	K3	K7	9:17850000	9	17850000	47	1	0.276103	0.276103
K3_vs_K7	K3	K7	10:1500000	10	1500000	22	1	0.287741	0.287741
K3_vs_K7	K3	K7	10:5950000	10	5950000	41	1	0.30841	0.30841
K3_vs_K7	K3	K7	11:7400000	11	7400000	25	1	0.31737	0.31737
K3_vs_K7	K3	K7	11:9950000	11	9950000	27	1	0.341689	0.341689
K3_vs_K7	K3	K7	11:10250000	11	10250000	100	1	0.2829	0.2829
K3_vs_K7	K3	K7	11:10850000	11	10850000	28	1	0.363378	0.363378
K3_vs_K7	K3	K7	11:12450000	11	12450000	61	1	0.278992	0.278992
K3_vs_K7	K3	K7	11:12750000	11	12750000	83	1	0.288177	0.288177
K3_vs_K7	K3	K7	11:16100000	11	16100000	31	1	0.293498	0.293498
K3_vs_K7	K3	K7	12:11100000	12	11100000	112	1	0.280719	0.280719
K3_vs_K7	K3	K7	12:17900000	12	17900000	87	1	0.300056	0.300056
K3_vs_K7	K3	K7	12:20200000	12	20200000	29	1	0.340549	0.340549
K3_vs_K7	K3	K7	13:6100000	13	6100000	28	1	0.413369	0.413369
K3_vs_K7	K3	K7	14:8800000	14	8800000	29	1	0.312867	0.312867
K3_vs_K7	K3	K7	14:17500000	14	17500000	36	1	0.275621	0.275621
K3_vs_K7	K3	K7	14:17700000	14	17700000	57	1	0.285311	0.285311
K3_vs_K7	K3	K7	14:17950000	14	17950000	84	1	0.320366	0.320366
K3_vs_K7	K3	K7	14:21100000	14	21100000	45	1	0.294425	0.294425
K3_vs_K7	K3	K7	14:23000000	14	23000000	54	1	0.273363	0.273363
K3_vs_K7	K3	K7	14:27950000	14	27950000	50	1	0.277233	0.277233
K3_vs_K7	K3	K7	16:1800000	16	1800000	41	1	0.296328	0.296328
K3_vs_K7	K3	K7	16:18500000	16	18500000	56	1	0.296749	0.296749
K3_vs_K7	K3	K7	18:1600000	18	1600000	62	1	0.304809	0.304809
K3_vs_K7	K3	K7	18:3550000	18	3550000	33	1	0.304429	0.304429
K3_vs_K7	K3	K7	18:6600000	18	6600000	32	1	0.3004	0.3004
K3_vs_K7	K3	K7	18:6750000	18	6750000	45	1	0.342505	0.342505
K3_vs_K7	K3	K7	18:12450000	18	12450000	30	1	0.278101	0.278101
K3_vs_K7	K3	K7	18:21000000	18	21000000	43	1	0.278032	0.278032
K3_vs_K7	K3	K7	18:21250000	18	21250000	33	1	0.370126	0.370126
K3_vs_K7	K3	K7	18:23300000	18	23300000	102	1	0.285085	0.285085
K3_vs_K7	K3	K7	19:2600000	19	2600000	33	1	0.280617	0.280617
K3_vs_K7	K3	K7	19:7450000	19	7450000	62	1	0.275981	0.275981
K4_vs_K5	K4	K5	1:11900000	1	11900000	104	1	0.243059	0.243059
K4_vs_K5	K4	K5	1:13450000	1	13450000	59	1	0.244616	0.244616
K4_vs_K5	K4	K5	1:18550000	1	18550000	67	1	0.252058	0.252058
K4_vs_K5	K4	K5	1:22000000	1	22000000	66	1	0.258146	0.258146
K4_vs_K5	K4	K5	1:23200000	1	23200000	51	1	0.263202	0.263202
K4_vs_K5	K4	K5	2:1050000	2	1050000	22	1	0.245019	0.245019
K4_vs_K5	K4	K5	2:1800000	2	1800000	21	1	0.252058	0.252058
K4_vs_K5	K4	K5	2:4150000	2	4150000	31	1	0.252807	0.252807
K4_vs_K5	K4	K5	2:4550000	2	4550000	23	1	0.286988	0.286988
K4_vs_K5	K4	K5	2:5250000	2	5250000	48	1	0.257051	0.257051
K4_vs_K5	K4	K5	3:150000	3	150000	60	1	0.249139	0.249139
K4_vs_K5	K4	K5	3:650000	3	650000	43	1	0.256665	0.256665
K4_vs_K5	K4	K5	4:6700000	4	6700000	56	1	0.261121	0.261121
K4_vs_K5	K4	K5	6:5000000	6	5000000	25	1	0.282497	0.282497
K4_vs_K5	K4	K5	6:9050000	6	9050000	25	1	0.24466	0.24466
K4_vs_K5	K4	K5	6:12150000	6	12150000	28	1	0.272068	0.272068
K4_vs_K5	K4	K5	7:2000000	7	2000000	37	1	0.254386	0.254386
K4_vs_K5	K4	K5	7:24300000	7	24300000	34	1	0.271106	0.271106
K4_vs_K5	K4	K5	7:25050000	7	25050000	46	1	0.24978	0.24978
K4_vs_K5	K4	K5	8:10000000	8	10000000	55	1	0.251148	0.251148
K4_vs_K5	K4	K5	8:10800000	8	10800000	33	1	0.25199	0.25199
K4_vs_K5	K4	K5	8:13300000	8	13300000	57	1	0.254627	0.254627
K4_vs_K5	K4	K5	8:14200000	8	14200000	27	1	0.243342	0.243342
K4_vs_K5	K4	K5	8:15600000	8	15600000	24	1	0.269045	0.269045
K4_vs_K5	K4	K5	8:16800000	8	16800000	33	1	0.300668	0.300668
K4_vs_K5	K4	K5	8:16950000	8	16950000	40	1	0.247858	0.247858
K4_vs_K5	K4	K5	8:22200000	8	22200000	22	1	0.278382	0.278382
K4_vs_K5	K4	K5	9:600000	9	600000	42	1	0.258169	0.258169
K4_vs_K5	K4	K5	9:1450000	9	1450000	39	1	0.271032	0.271032
K4_vs_K5	K4	K5	11:2900000	11	2900000	37	1	0.251566	0.251566
K4_vs_K5	K4	K5	11:3050000	11	3050000	50	1	0.257272	0.257272
K4_vs_K5	K4	K5	11:3250000	11	3250000	61	1	0.338035	0.338035
K4_vs_K5	K4	K5	11:4700000	11	4700000	60	1	0.243879	0.243879
K4_vs_K5	K4	K5	11:5050000	11	5050000	76	1	0.248257	0.248257
K4_vs_K5	K4	K5	12:7050000	12	7050000	65	1	0.252519	0.252519
K4_vs_K5	K4	K5	12:7450000	12	7450000	42	1	0.252123	0.252123
K4_vs_K5	K4	K5	14:900000	14	900000	40	1	0.294908	0.294908
K4_vs_K5	K4	K5	14:22500000	14	22500000	45	1	0.255065	0.255065
K4_vs_K5	K4	K5	14:22650000	14	22650000	47	1	0.247388	0.247388
K4_vs_K5	K4	K5	15:22050000	15	22050000	29	1	0.280097	0.280097
K4_vs_K5	K4	K5	16:22700000	16	22700000	53	1	0.283573	0.283573
K4_vs_K5	K4	K5	17:6700000	17	6700000	21	1	0.286013	0.286013
K4_vs_K5	K4	K5	17:11100000	17	11100000	52	1	0.249244	0.249244
K4_vs_K5	K4	K5	17:12400000	17	12400000	51	1	0.263849	0.263849
K4_vs_K5	K4	K5	17:13000000	17	13000000	50	1	0.331401	0.331401
K4_vs_K5	K4	K5	18:10000000	18	10000000	44	1	0.263884	0.263884
K4_vs_K6	K4	K6	1:10900000	1	10900000	29	1	0.162961	0.162961
K4_vs_K6	K4	K6	1:11250000	1	11250000	59	1	0.181737	0.181737
K4_vs_K6	K4	K6	1:12900000	1	12900000	53	1	0.207984	0.207984
K4_vs_K6	K4	K6	1:23150000	1	23150000	27	1	0.205312	0.205312
K4_vs_K6	K4	K6	1:23600000	1	23600000	41	1	0.164471	0.164471
K4_vs_K6	K4	K6	3:650000	3	650000	45	1	0.166363	0.166363
K4_vs_K6	K4	K6	3:1850000	3	1850000	26	1	0.182464	0.182464
K4_vs_K6	K4	K6	3:5100000	3	5100000	42	1	0.157965	0.157965
K4_vs_K6	K4	K6	3:5250000	3	5250000	44	1	0.159993	0.159993
K4_vs_K6	K4	K6	3:9600000	3	9600000	71	1	0.160117	0.160117
K4_vs_K6	K4	K6	5:12050000	5	12050000	41	1	0.214902	0.214902
K4_vs_K6	K4	K6	5:21050000	5	21050000	50	1	0.19441	0.19441
K4_vs_K6	K4	K6	5:21350000	5	21350000	95	1	0.172455	0.172455
K4_vs_K6	K4	K6	5:25400000	5	25400000	115	1	0.187184	0.187184
K4_vs_K6	K4	K6	6:18250000	6	18250000	100	1	0.160748	0.160748
K4_vs_K6	K4	K6	7:16350000	7	16350000	84	1	0.159752	0.159752
K4_vs_K6	K4	K6	8:9450000	8	9450000	65	1	0.161552	0.161552
K4_vs_K6	K4	K6	8:9950000	8	9950000	68	1	0.160594	0.160594
K4_vs_K6	K4	K6	8:10400000	8	10400000	52	1	0.178216	0.178216
K4_vs_K6	K4	K6	8:10800000	8	10800000	35	1	0.164432	0.164432
K4_vs_K6	K4	K6	8:13000000	8	13000000	47	1	0.163587	0.163587
K4_vs_K6	K4	K6	8:14300000	8	14300000	49	1	0.167349	0.167349
K4_vs_K6	K4	K6	9:400000	9	400000	62	1	0.15878	0.15878
K4_vs_K6	K4	K6	9:750000	9	750000	35	1	0.177851	0.177851
K4_vs_K6	K4	K6	9:1200000	9	1200000	50	1	0.161719	0.161719
K4_vs_K6	K4	K6	9:4300000	9	4300000	67	1	0.15894	0.15894
K4_vs_K6	K4	K6	9:10550000	9	10550000	82	1	0.158557	0.158557
K4_vs_K6	K4	K6	9:18300000	9	18300000	121	1	0.171064	0.171064
K4_vs_K6	K4	K6	9:23000000	9	23000000	78	1	0.181564	0.181564
K4_vs_K6	K4	K6	10:9100000	10	9100000	52	1	0.186619	0.186619
K4_vs_K6	K4	K6	10:11750000	10	11750000	61	1	0.195553	0.195553
K4_vs_K6	K4	K6	10:18450000	10	18450000	167	1	0.213615	0.213615
K4_vs_K6	K4	K6	10:19450000	10	19450000	164	1	0.170402	0.170402
K4_vs_K6	K4	K6	11:1000000	11	1000000	26	1	0.222326	0.222326
K4_vs_K6	K4	K6	12:2450000	12	2450000	102	1	0.170717	0.170717
K4_vs_K6	K4	K6	12:2850000	12	2850000	51	1	0.178662	0.178662
K4_vs_K6	K4	K6	12:4600000	12	4600000	48	1	0.163089	0.163089
K4_vs_K6	K4	K6	12:17900000	12	17900000	91	1	0.16305	0.16305
K4_vs_K6	K4	K6	14:6500000	14	6500000	47	1	0.213453	0.213453
K4_vs_K6	K4	K6	14:6950000	14	6950000	39	1	0.161859	0.161859
K4_vs_K6	K4	K6	14:10800000	14	10800000	193	1	0.166659	0.166659
K4_vs_K6	K4	K6	14:12950000	14	12950000	21	1	0.175852	0.175852
K4_vs_K6	K4	K6	14:13350000	14	13350000	23	1	0.24509	0.24509
K4_vs_K6	K4	K6	14:13700000	14	13700000	76	1	0.203612	0.203612
K4_vs_K6	K4	K6	14:13950000	14	13950000	65	1	0.167756	0.167756
K4_vs_K6	K4	K6	16:22150000	16	22150000	65	1	0.166044	0.166044
K4_vs_K6	K4	K6	17:8250000	17	8250000	39	1	0.176935	0.176935
K4_vs_K6	K4	K6	17:8450000	17	8450000	61	1	0.15762	0.15762
K4_vs_K6	K4	K6	17:8800000	17	8800000	28	1	0.182701	0.182701
K4_vs_K6	K4	K6	17:11100000	17	11100000	50	1	0.157852	0.157852
K4_vs_K6	K4	K6	18:9750000	18	9750000	39	1	0.161515	0.161515
K4_vs_K6	K4	K6	18:13300000	18	13300000	53	1	0.158657	0.158657
K4_vs_K6	K4	K6	18:13450000	18	13450000	43	1	0.197678	0.197678
K4_vs_K6	K4	K6	18:13800000	18	13800000	90	1	0.172699	0.172699
K4_vs_K6	K4	K6	18:13950000	18	13950000	83	1	0.164955	0.164955
K4_vs_K6	K4	K6	18:17000000	18	17000000	108	1	0.15836	0.15836
K4_vs_K6	K4	K6	19:5500000	19	5500000	65	1	0.188623	0.188623
K4_vs_K7	K4	K7	1:8700000	1	8700000	67	1	0.256528	0.256528
K4_vs_K7	K4	K7	1:9850000	1	9850000	41	1	0.257241	0.257241
K4_vs_K7	K4	K7	1:10450000	1	10450000	49	1	0.294223	0.294223
K4_vs_K7	K4	K7	1:10700000	1	10700000	48	1	0.323103	0.323103
K4_vs_K7	K4	K7	1:10900000	1	10900000	26	1	0.313145	0.313145
K4_vs_K7	K4	K7	1:12700000	1	12700000	43	1	0.262455	0.262455
K4_vs_K7	K4	K7	1:13450000	1	13450000	56	1	0.288806	0.288806
K4_vs_K7	K4	K7	1:15850000	1	15850000	53	1	0.267369	0.267369
K4_vs_K7	K4	K7	2:5150000	2	5150000	40	1	0.261237	0.261237
K4_vs_K7	K4	K7	3:3300000	3	3300000	50	1	0.261733	0.261733
K4_vs_K7	K4	K7	3:4050000	3	4050000	53	1	0.271358	0.271358
K4_vs_K7	K4	K7	4:1200000	4	1200000	40	1	0.26196	0.26196
K4_vs_K7	K4	K7	4:17400000	4	17400000	37	1	0.321446	0.321446
K4_vs_K7	K4	K7	4:22950000	4	22950000	62	1	0.292755	0.292755
K4_vs_K7	K4	K7	4:23450000	4	23450000	46	1	0.275182	0.275182
K4_vs_K7	K4	K7	5:1200000	5	1200000	20	1	0.301377	0.301377
K4_vs_K7	K4	K7	5:2550000	5	2550000	74	1	0.269716	0.269716
K4_vs_K7	K4	K7	6:6500000	6	6500000	27	1	0.309064	0.309064
K4_vs_K7	K4	K7	6:15500000	6	15500000	52	1	0.346421	0.346421
K4_vs_K7	K4	K7	6:16300000	6	16300000	58	1	0.255004	0.255004
K4_vs_K7	K4	K7	6:18050000	6	18050000	35	1	0.255163	0.255163
K4_vs_K7	K4	K7	7:21500000	7	21500000	20	1	0.259486	0.259486
K4_vs_K7	K4	K7	7:25950000	7	25950000	28	1	0.25779	0.25779
K4_vs_K7	K4	K7	8:10000000	8	10000000	51	1	0.270937	0.270937
K4_vs_K7	K4	K7	8:10450000	8	10450000	50	1	0.271538	0.271538
K4_vs_K7	K4	K7	8:12250000	8	12250000	86	1	0.255673	0.255673
K4_vs_K7	K4	K7	8:12800000	8	12800000	45	1	0.26047	0.26047
K4_vs_K7	K4	K7	8:12950000	8	12950000	50	1	0.27303	0.27303
K4_vs_K7	K4	K7	8:13300000	8	13300000	54	1	0.255351	0.255351
K4_vs_K7	K4	K7	8:14300000	8	14300000	44	1	0.289314	0.289314
K4_vs_K7	K4	K7	8:21250000	8	21250000	27	1	0.260969	0.260969
K4_vs_K7	K4	K7	8:21450000	8	21450000	35	1	0.297438	0.297438
K4_vs_K7	K4	K7	10:11750000	10	11750000	57	1	0.27348	0.27348
K4_vs_K7	K4	K7	11:2950000	11	2950000	23	1	0.259586	0.259586
K4_vs_K7	K4	K7	11:3250000	11	3250000	48	1	0.333887	0.333887
K4_vs_K7	K4	K7	11:3800000	11	3800000	38	1	0.261705	0.261705
K4_vs_K7	K4	K7	13:25850000	13	25850000	36	1	0.30734	0.30734
K4_vs_K7	K4	K7	13:27550000	13	27550000	36	1	0.264593	0.264593
K4_vs_K7	K4	K7	14:550000	14	550000	41	1	0.273557	0.273557
K4_vs_K7	K4	K7	14:5700000	14	5700000	55	1	0.275754	0.275754
K4_vs_K7	K4	K7	14:6150000	14	6150000	38	1	0.297974	0.297974
K4_vs_K7	K4	K7	14:8300000	14	8300000	106	1	0.257316	0.257316
K4_vs_K7	K4	K7	14:13350000	14	13350000	22	1	0.259949	0.259949
K4_vs_K7	K4	K7	14:13900000	14	13900000	81	1	0.263031	0.263031
K4_vs_K7	K4	K7	14:17350000	14	17350000	60	1	0.287327	0.287327
K4_vs_K7	K4	K7	14:17650000	14	17650000	92	1	0.261128	0.261128
K4_vs_K7	K4	K7	16:5300000	16	5300000	79	1	0.31833	0.31833
K4_vs_K7	K4	K7	17:8800000	17	8800000	23	1	0.402433	0.402433
K4_vs_K7	K4	K7	17:8950000	17	8950000	46	1	0.287978	0.287978
K4_vs_K7	K4	K7	17:11650000	17	11650000	73	1	0.286155	0.286155
K4_vs_K7	K4	K7	18:22700000	18	22700000	77	1	0.274974	0.274974
K5_vs_K6	K5	K6	1:2200000	1	2200000	46	1	0.1766	0.1766
K5_vs_K6	K5	K6	1:12450000	1	12450000	68	1	0.186144	0.186144
K5_vs_K6	K5	K6	1:12700000	1	12700000	48	1	0.195489	0.195489
K5_vs_K6	K5	K6	1:12900000	1	12900000	61	1	0.271055	0.271055
K5_vs_K6	K5	K6	1:15650000	1	15650000	47	1	0.198446	0.198446
K5_vs_K6	K5	K6	1:18500000	1	18500000	38	1	0.1797	0.1797
K5_vs_K6	K5	K6	1:22250000	1	22250000	31	1	0.18262	0.18262
K5_vs_K6	K5	K6	2:4900000	2	4900000	21	1	0.183779	0.183779
K5_vs_K6	K5	K6	2:5500000	2	5500000	32	1	0.18071	0.18071
K5_vs_K6	K5	K6	3:950000	3	950000	57	1	0.229708	0.229708
K5_vs_K6	K5	K6	3:6500000	3	6500000	36	1	0.182695	0.182695
K5_vs_K6	K5	K6	4:850000	4	850000	39	1	0.224938	0.224938
K5_vs_K6	K5	K6	4:1950000	4	1950000	28	1	0.188659	0.188659
K5_vs_K6	K5	K6	4:2100000	4	2100000	24	1	0.240564	0.240564
K5_vs_K6	K5	K6	6:4650000	6	4650000	40	1	0.189894	0.189894
K5_vs_K6	K5	K6	6:7550000	6	7550000	51	1	0.186497	0.186497
K5_vs_K6	K5	K6	6:11750000	6	11750000	88	1	0.20489	0.20489
K5_vs_K6	K5	K6	6:18050000	6	18050000	36	1	0.196904	0.196904
K5_vs_K6	K5	K6	7:1600000	7	1600000	54	1	0.187934	0.187934
K5_vs_K6	K5	K6	7:18100000	7	18100000	53	1	0.209337	0.209337
K5_vs_K6	K5	K6	7:21850000	7	21850000	48	1	0.200684	0.200684
K5_vs_K6	K5	K6	7:23900000	7	23900000	22	1	0.193342	0.193342
K5_vs_K6	K5	K6	8:10600000	8	10600000	37	1	0.178438	0.178438
K5_vs_K6	K5	K6	8:10850000	8	10850000	47	1	0.188118	0.188118
K5_vs_K6	K5	K6	8:16800000	8	16800000	37	1	0.215562	0.215562
K5_vs_K6	K5	K6	8:20150000	8	20150000	24	1	0.188793	0.188793
